Timestamp,ax,ay,az,gx,gy,gz
1743569066530,0.9356,6.5797,6.466,-0.1731,1.0194,-0.079
1743569066540,1.5386,6.8955,5.4628,-0.1731,1.0194,-0.079
1743569066550,-0.1813,6.9009,8.1541,-0.1731,1.0194,-0.079
1743569066560,-0.1813,6.9009,8.1541,-0.1731,1.0194,-0.079
1743569066570,-0.1813,6.9009,8.1541,-0.1967,1.4732,-0.3516
1743569066580,-0.1813,6.9009,8.1541,-0.1967,1.4732,-0.3516
1743569066590,-0.1813,6.9009,8.1541,-0.1967,1.4732,-0.3516
1743569066600,-0.1813,6.9009,8.1541,-0.1967,1.4732,-0.3516
1743569066610,-0.1759,6.551,9.5725,-0.1967,1.4732,-0.3516
1743569066620,-3.7789,5.6327,-1.0989,-0.1967,1.4732,-0.3516
1743569066630,-3.7789,5.6327,-1.0989,-0.1967,1.4732,-0.3516
1743569066640,-3.7789,5.6327,-1.0989,0.7123,-0.8809,-0.7752
1743569066650,-3.7789,5.6327,-1.0989,0.7123,-0.8809,-0.7752
1743569066660,-3.7789,5.6327,-1.0989,0.7123,-0.8809,-0.7752
1743569066670,-3.7789,5.6327,-1.0989,0.7123,-0.8809,-0.7752
1743569066680,-4.5464,5.9145,1.1348,0.7123,-0.8809,-0.7752
1743569066690,-3.5169,5.0949,10.2078,0.7123,-0.8809,-0.7752
1743569066700,-3.5169,5.0949,10.2078,0.7123,-0.8809,-0.7752
1743569066710,-3.5169,5.0949,10.2078,-2.3762,1.905,0.8711
1743569066720,-3.5169,5.0949,10.2078,-2.3762,1.905,0.8711
1743569066730,-3.5169,5.0949,10.2078,-2.3762,1.905,0.8711
1743569066740,-3.5169,5.0949,10.2078,-2.3762,1.905,0.8711
1743569066750,-0.14,5.2528,10.3543,-2.3762,1.905,0.8711
1743569066760,-0.14,5.2528,10.3543,-2.3762,1.905,0.8711
1743569066770,-0.14,5.2528,10.3543,1.1382,-1.4434,0.2809
1743569066780,-0.7848,6.4887,4.8413,1.1382,-1.4434,0.2809
1743569066790,-0.7848,6.4887,4.8413,1.1382,-1.4434,0.2809
1743569066800,-0.7848,6.4887,4.8413,1.1382,-1.4434,0.2809
1743569066810,-0.4947,6.4259,5.3964,1.1382,-1.4434,0.2809
1743569066820,-0.4947,6.4259,5.3964,1.1382,-1.4434,0.2809
1743569066830,-0.4947,6.4259,5.3964,1.1382,-1.4434,0.2809
1743569066840,-0.4947,6.4259,5.3964,-0.0702,0.3653,0.6095
1743569066850,-0.4947,6.4259,5.3964,-0.0702,0.3653,0.6095
1743569066860,-0.4947,6.4259,5.3964,-0.0702,0.3653,0.6095
1743569066870,-0.4947,6.4259,5.3964,-0.0702,0.3653,0.6095
1743569066880,0.5151,6.323,7.5087,-0.0702,0.3653,0.6095
1743569066890,1.517,6.2704,7.7557,-0.0702,0.3653,0.6095
1743569066900,1.517,6.2704,7.7557,-0.0702,0.3653,0.6095
1743569066910,1.517,6.2704,7.7557,0.1946,-0.5953,0.266
1743569066920,1.517,6.2704,7.7557,0.1946,-0.5953,0.266
1743569066930,1.517,6.2704,7.7557,0.1946,-0.5953,0.266
1743569066940,1.4118,6.3667,7.7611,0.1946,-0.5953,0.266
1743569066950,0.7956,6.7173,6.3206,0.1946,-0.5953,0.266
1743569066960,0.7956,6.7173,6.3206,0.1946,-0.5953,0.266
1743569066970,0.7956,6.7173,6.3206,0.0357,-0.2681,-0.0486
1743569066980,0.7956,6.7173,6.3206,0.0357,-0.2681,-0.0486
1743569066990,0.7956,6.7173,6.3206,0.0357,-0.2681,-0.0486
1743569067000,0.7956,6.7173,6.3206,0.0357,-0.2681,-0.0486
1743569067010,0.737,6.7412,6.0371,0.0357,-0.2681,-0.0486
1743569067020,0.3966,6.0449,8.3198,0.0357,-0.2681,-0.0486
1743569067030,0.3966,6.0449,8.3198,0.0357,-0.2681,-0.0486
1743569067040,0.3966,6.0449,8.3198,-0.265,-0.2343,-0.1063
1743569067050,0.3966,6.0449,8.3198,-0.265,-0.2343,-0.1063
1743569067060,0.3966,6.0449,8.3198,-0.265,-0.2343,-0.1063
1743569067070,0.3966,6.0449,8.3198,-0.265,-0.2343,-0.1063
1743569067080,0.4618,5.9886,8.6818,-0.265,-0.2343,-0.1063
1743569067090,0.4594,5.9731,8.2522,-0.265,-0.2343,-0.1063
1743569067100,0.4092,6.134,8.345,-0.265,-0.2343,-0.1063
1743569067110,0.5551,6.1286,8.2678,0.0742,-0.2601,-0.1414
1743569067120,0.5551,6.1286,8.2678,0.0742,-0.2601,-0.1414
1743569067130,0.5551,6.1286,8.2678,0.0742,-0.2601,-0.1414
1743569067140,0.5551,6.1286,8.2678,0.0742,-0.2601,-0.1414
1743569067150,0.4008,6.1837,7.6062,0.0742,-0.2601,-0.1414
1743569067160,0.4008,6.1837,7.6062,0.0742,-0.2601,-0.1414
1743569067170,0.4008,6.1837,7.6062,0.1654,-0.3471,-0.1604
1743569067180,0.4008,6.1837,7.6062,0.1654,-0.3471,-0.1604
1743569067190,0.4008,6.1837,7.6062,0.1654,-0.3471,-0.1604
1743569067200,0.4008,6.1837,7.6062,0.1654,-0.3471,-0.1604
1743569067210,0.1872,6.2112,7.7635,0.1654,-0.3471,-0.1604
1743569067220,0.3332,6.277,7.3537,0.1654,-0.3471,-0.1604
1743569067230,0.3332,6.277,7.3537,0.1654,-0.3471,-0.1604
1743569067240,0.3332,6.277,7.3537,0.0459,-0.0486,-0.0367
1743569067250,0.3332,6.277,7.3537,0.0459,-0.0486,-0.0367
1743569067260,0.8674,6.189,7.3825,0.0459,-0.0486,-0.0367
1743569067270,0.7424,6.1591,7.6056,0.0459,-0.0486,-0.0367
1743569067280,0.1292,6.2453,7.879,0.0459,-0.0486,-0.0367
1743569067290,0.1292,6.2453,7.879,0.0459,-0.0486,-0.0367
1743569067300,0.1292,6.2453,7.879,0.0459,-0.0486,-0.0367
1743569067310,0.1292,6.2453,7.879,-0.0058,0.1718,-0.0201
1743569067320,0.1292,6.2453,7.879,-0.0058,0.1718,-0.0201
1743569067330,0.1292,6.2453,7.879,-0.0058,0.1718,-0.0201
1743569067340,0.1292,6.2453,7.879,-0.0058,0.1718,-0.0201
1743569067350,-0.5994,6.3835,7.6289,-0.0058,0.1718,-0.0201
1743569067360,-0.5994,6.3835,7.6289,-0.0058,0.1718,-0.0201
1743569067370,-0.5994,6.3835,7.6289,-0.3171,1.3358,0.2568
1743569067380,-0.5994,6.3835,7.6289,-0.3171,1.3358,0.2568
1743569067390,-0.5994,6.3835,7.6289,-0.3171,1.3358,0.2568
1743569067400,-0.5994,6.3835,7.6289,-0.3171,1.3358,0.2568
1743569067410,0.5007,6.1412,5.016,-0.3171,1.3358,0.2568
1743569067420,3.4032,6.1699,12.5198,-0.3171,1.3358,0.2568
1743569067430,3.4032,6.1699,12.5198,-0.3171,1.3358,0.2568
1743569067440,3.4032,6.1699,12.5198,0.9206,-0.2644,-0.4908
1743569067450,3.4032,6.1699,12.5198,0.9206,-0.2644,-0.4908
1743569067460,3.4032,6.1699,12.5198,0.9206,-0.2644,-0.4908
1743569067470,3.4032,6.1699,12.5198,0.9206,-0.2644,-0.4908
1743569067480,-2.8331,6.7549,1.4722,0.9206,-0.2644,-0.4908
1743569067490,-2.5478,6.7226,2.5178,0.9206,-0.2644,-0.4908
1743569067500,-2.5478,6.7226,2.5178,0.9206,-0.2644,-0.4908
1743569067510,-2.5478,6.7226,2.5178,-0.9007,0.9949,0.1267
1743569067520,-2.5478,6.7226,2.5178,-0.9007,0.9949,0.1267
1743569067530,-2.5478,6.7226,2.5178,-0.9007,0.9949,0.1267
1743569067540,-2.5478,6.7226,2.5178,-0.9007,0.9949,0.1267
1743569067550,-0.6754,5.2074,12.134,-0.9007,0.9949,0.1267
1743569067560,-0.6754,5.2074,12.134,-0.9007,0.9949,0.1267
1743569067570,-0.6754,5.2074,12.134,-0.2513,0.3027,0.1384
1743569067580,-0.7065,5.6351,10.4339,-0.2513,0.3027,0.1384
1743569067590,-0.8853,5.9856,8.7458,-0.2513,0.3027,0.1384
1743569067600,-0.8853,5.9856,8.7458,-0.2513,0.3027,0.1384
1743569067610,-0.7872,6.1681,7.185,-0.2513,0.3027,0.1384
1743569067620,-0.7872,6.1681,7.185,-0.2513,0.3027,0.1384
1743569067630,-0.7872,6.1681,7.185,-0.2513,0.3027,0.1384
1743569067640,-0.7872,6.1681,7.185,0.2301,-0.2016,0.0947
1743569067650,-0.7872,6.1681,7.185,0.2301,-0.2016,0.0947
1743569067660,-0.7872,6.1681,7.185,0.2301,-0.2016,0.0947
1743569067670,-0.7872,6.1681,7.185,0.2301,-0.2016,0.0947
1743569067680,-0.7783,5.9785,7.264,0.2301,-0.2016,0.0947
1743569067690,-0.813,5.9743,7.5906,0.2301,-0.2016,0.0947
1743569067700,-0.813,5.9743,7.5906,0.2301,-0.2016,0.0947
1743569067710,-0.813,5.9743,7.5906,-0.1872,0.1198,0.226
1743569067720,-0.813,5.9743,7.5906,-0.1872,0.1198,0.226
1743569067730,-0.813,5.9743,7.5906,-0.1872,0.1198,0.226
1743569067740,0.2674,5.9515,8.5525,-0.1872,0.1198,0.226
1743569067750,0.064,6.0556,8.2768,-0.1872,0.1198,0.226
1743569067760,0.064,6.0556,8.2768,-0.1872,0.1198,0.226
1743569067770,0.064,6.0556,8.2768,-0.1872,0.1198,0.226
1743569067780,0.064,6.0556,8.2768,0.3018,-0.65,-0.0157
1743569067790,0.064,6.0556,8.2768,0.3018,-0.65,-0.0157
1743569067800,0.064,6.0556,8.2768,0.3018,-0.65,-0.0157
1743569067810,-0.3141,6.1813,7.751,0.3018,-0.65,-0.0157
1743569067820,-0.2016,6.2806,6.9601,0.3018,-0.65,-0.0157
1743569067830,-0.2016,6.2806,6.9601,0.3018,-0.65,-0.0157
1743569067840,-0.2016,6.2806,6.9601,0.133,-0.6802,0.0899
1743569067850,-0.2016,6.2806,6.9601,0.133,-0.6802,0.0899
1743569067860,-0.2016,6.2806,6.9601,0.133,-0.6802,0.0899
1743569067870,-0.2016,6.2806,6.9601,0.133,-0.6802,0.0899
1743569067880,0.7771,6.1478,7.788,0.133,-0.6802,0.0899
1743569067890,0.7771,6.1478,7.788,0.133,-0.6802,0.0899
1743569067900,0.6419,6.1771,7.9059,0.133,-0.6802,0.0899
1743569067910,0.4732,6.323,7.9155,0.0449,-0.5622,-0.0429
1743569067920,0.4732,6.323,7.9155,0.0449,-0.5622,-0.0429
1743569067930,0.4732,6.323,7.9155,0.0449,-0.5622,-0.0429
1743569067940,0.4732,6.323,7.9155,0.0449,-0.5622,-0.0429
1743569067950,0.3476,6.3745,7.7306,0.0449,-0.5622,-0.0429
1743569067960,0.3476,6.3745,7.7306,0.0449,-0.5622,-0.0429
1743569067970,0.3476,6.3745,7.7306,0.065,-0.2699,-0.0092
1743569067980,0.3476,6.3745,7.7306,0.065,-0.2699,-0.0092
1743569067990,0.3476,6.3745,7.7306,0.065,-0.2699,-0.0092
1743569068000,0.3476,6.3745,7.7306,0.065,-0.2699,-0.0092
1743569068010,0.4678,6.2674,7.7964,0.065,-0.2699,-0.0092
1743569068020,0.7017,6.2183,7.8879,0.065,-0.2699,-0.0092
1743569068030,0.7017,6.2183,7.8879,0.065,-0.2699,-0.0092
1743569068040,0.7017,6.2183,7.8879,0.1194,-0.1985,0.0111
1743569068050,0.7017,6.2183,7.8879,0.1194,-0.1985,0.0111
1743569068060,0.737,6.2776,7.7521,0.1194,-0.1985,0.0111
1743569068070,0.7507,6.3954,7.6762,0.1194,-0.1985,0.0111
1743569068080,0.7669,6.3918,7.6522,0.1194,-0.1985,0.0111
1743569068090,0.7669,6.3918,7.6522,0.1194,-0.1985,0.0111
1743569068100,0.7669,6.3918,7.6522,0.1194,-0.1985,0.0111
1743569068110,0.7669,6.3918,7.6522,0.1406,-0.1151,0.008
1743569068120,0.7669,6.3918,7.6522,0.1406,-0.1151,0.008
1743569068130,0.7669,6.3918,7.6522,0.1406,-0.1151,0.008
1743569068140,0.7669,6.3918,7.6522,0.1406,-0.1151,0.008
1743569068150,0.8405,6.399,7.8999,0.1406,-0.1151,0.008
